name,reference product,location,unit,outcome,previous_confidence,candidate_confidence,candidate_deprecated,candidate_geographic_proxy,evidence,previous_target,candidate_target,candidate_method,candidate_reasoning,lineage_kind,lineage_scope,lineage_file,lineage_source,lineage_comment,lineage_fit,lineage_confidence,lineage_flags,followup_outcome,followup_reason,final_confidence,screening_flags
red kidney bean production,red kidney bean,CA-MB,kilogram,review_pair,0.085395,0.4,False,True,Neither candidate establishes a sufficiently better product/process match.,"{""location"": ""CH"", ""name"": ""Agricultural machinery, general, production"", ""reference product"": ""Agricultural machinery, general, production"", ""unit"": ""kilogram""}","{""location"": ""CH"", ""name"": ""Soy beans IP, at farm"", ""reference product"": ""Soy beans IP, at farm"", ""unit"": ""kilogram""}",review,[Manual] rough proxy:  | Reviewed by hand (Karin).,recorded_decision,exact_source,mapping_decisions.json,"{""location"": ""CA-MB"", ""name"": ""red kidney bean production"", ""reference product"": ""red kidney bean"", ""unit"": ""kilogram""}",,rough proxy,0.4,,needs_crop_and_farming_system,"Different crop species, seed/food/feed roles, irrigation or organic/IP systems require inventory evidence; generic crop similarity is insufficient.",0.085395,geographic_proxy
red kidney bean production,red kidney bean,CA-ON,kilogram,review_pair,0.085395,0.4,False,True,Neither candidate establishes a sufficiently better product/process match.,"{""location"": ""CH"", ""name"": ""Agricultural machinery, general, production"", ""reference product"": ""Agricultural machinery, general, production"", ""unit"": ""kilogram""}","{""location"": ""CH"", ""name"": ""Soy beans IP, at farm"", ""reference product"": ""Soy beans IP, at farm"", ""unit"": ""kilogram""}",review,[Manual] rough proxy:  | Reviewed by hand (Karin).,recorded_decision,exact_source,mapping_decisions.json,"{""location"": ""CA-ON"", ""name"": ""red kidney bean production"", ""reference product"": ""red kidney bean"", ""unit"": ""kilogram""}",,rough proxy,0.4,,needs_crop_and_farming_system,"Different crop species, seed/food/feed roles, irrigation or organic/IP systems require inventory evidence; generic crop similarity is insufficient.",0.085395,geographic_proxy
red kidney bean production,red kidney bean,RoW,kilogram,review_pair,0.085395,0.4,False,True,Neither candidate establishes a sufficiently better product/process match.,"{""location"": ""CH"", ""name"": ""Agricultural machinery, general, production"", ""reference product"": ""Agricultural machinery, general, production"", ""unit"": ""kilogram""}","{""location"": ""CH"", ""name"": ""Soy beans IP, at farm"", ""reference product"": ""Soy beans IP, at farm"", ""unit"": ""kilogram""}",review,[Manual] rough proxy:  | Reviewed by hand (Karin).,recorded_decision,exact_source,mapping_decisions.json,"{""location"": ""RoW"", ""name"": ""red kidney bean production"", ""reference product"": ""red kidney bean"", ""unit"": ""kilogram""}",,rough proxy,0.4,,needs_crop_and_farming_system,"Different crop species, seed/food/feed roles, irrigation or organic/IP systems require inventory evidence; generic crop similarity is insufficient.",0.085395,geographic_proxy
"cocoa bean production, sun-dried",cocoa bean,CI,kilogram,review_pair,0.089075,0.4,False,True,Neither candidate establishes a sufficiently better product/process match.,"{""location"": ""CH"", ""name"": ""Dried roughage store, cold-air dried, conventional, operation"", ""reference product"": ""Dried roughage store, cold-air dried, conventional, operation"", ""unit"": ""kilogram""}","{""location"": ""CH"", ""name"": ""Soy beans IP, at farm"", ""reference product"": ""Soy beans IP, at farm"", ""unit"": ""kilogram""}",review,[Manual] rough proxy:  | Reviewed by hand (Karin).,recorded_decision,exact_source,mapping_decisions.json,"{""location"": ""CI"", ""name"": ""cocoa bean production, sun-dried"", ""reference product"": ""cocoa bean"", ""unit"": ""kilogram""}",,rough proxy,0.4,,needs_crop_and_farming_system,"Different crop species, seed/food/feed roles, irrigation or organic/IP systems require inventory evidence; generic crop similarity is insufficient.",0.089075,geographic_proxy
"cocoa bean production, sun-dried",cocoa bean,GH,kilogram,review_pair,0.089075,0.4,False,True,Neither candidate establishes a sufficiently better product/process match.,"{""location"": ""CH"", ""name"": ""Dried roughage store, cold-air dried, conventional, operation"", ""reference product"": ""Dried roughage store, cold-air dried, conventional, operation"", ""unit"": ""kilogram""}","{""location"": ""CH"", ""name"": ""Soy beans IP, at farm"", ""reference product"": ""Soy beans IP, at farm"", ""unit"": ""kilogram""}",review,[Manual] rough proxy:  | Reviewed by hand (Karin).,recorded_decision,exact_source,mapping_decisions.json,"{""location"": ""GH"", ""name"": ""cocoa bean production, sun-dried"", ""reference product"": ""cocoa bean"", ""unit"": ""kilogram""}",,rough proxy,0.4,,needs_crop_and_farming_system,"Different crop species, seed/food/feed roles, irrigation or organic/IP systems require inventory evidence; generic crop similarity is insufficient.",0.089075,geographic_proxy
"cocoa bean production, sun-dried",cocoa bean,ID,kilogram,review_pair,0.089075,0.4,False,True,Neither candidate establishes a sufficiently better product/process match.,"{""location"": ""CH"", ""name"": ""Dried roughage store, cold-air dried, conventional, operation"", ""reference product"": ""Dried roughage store, cold-air dried, conventional, operation"", ""unit"": ""kilogram""}","{""location"": ""CH"", ""name"": ""Soy beans IP, at farm"", ""reference product"": ""Soy beans IP, at farm"", ""unit"": ""kilogram""}",review,[Manual] rough proxy:  | Reviewed by hand (Karin).,recorded_decision,exact_source,mapping_decisions.json,"{""location"": ""ID"", ""name"": ""cocoa bean production, sun-dried"", ""reference product"": ""cocoa bean"", ""unit"": ""kilogram""}",,rough proxy,0.4,,needs_crop_and_farming_system,"Different crop species, seed/food/feed roles, irrigation or organic/IP systems require inventory evidence; generic crop similarity is insufficient.",0.089075,geographic_proxy
"cocoa bean production, sun-dried",cocoa bean,RoW,kilogram,review_pair,0.089075,0.4,False,True,Neither candidate establishes a sufficiently better product/process match.,"{""location"": ""CH"", ""name"": ""Dried roughage store, cold-air dried, conventional, operation"", ""reference product"": ""Dried roughage store, cold-air dried, conventional, operation"", ""unit"": ""kilogram""}","{""location"": ""CH"", ""name"": ""Soy beans IP, at farm"", ""reference product"": ""Soy beans IP, at farm"", ""unit"": ""kilogram""}",review,[Manual] rough proxy:  | Reviewed by hand (Karin).,recorded_decision,exact_source,mapping_decisions.json,"{""location"": ""RoW"", ""name"": ""cocoa bean production, sun-dried"", ""reference product"": ""cocoa bean"", ""unit"": ""kilogram""}",,rough proxy,0.4,,needs_crop_and_farming_system,"Different crop species, seed/food/feed roles, irrigation or organic/IP systems require inventory evidence; generic crop similarity is insufficient.",0.089075,geographic_proxy
castor bean production,castor bean,RoW,kilogram,review_pair,0.090341,0.4,False,True,Neither candidate establishes a sufficiently better product/process match.,"{""location"": ""CH"", ""name"": ""Agricultural machinery, general, production"", ""reference product"": ""Agricultural machinery, general, production"", ""unit"": ""kilogram""}","{""location"": ""CH"", ""name"": ""Soy beans IP, at farm"", ""reference product"": ""Soy beans IP, at farm"", ""unit"": ""kilogram""}",review,[Manual] rough proxy:  | Reviewed by hand (Karin).,recorded_decision,exact_source,mapping_decisions.json,"{""location"": ""RoW"", ""name"": ""castor bean production"", ""reference product"": ""castor bean"", ""unit"": ""kilogram""}",,rough proxy,0.4,,needs_crop_and_farming_system,"Different crop species, seed/food/feed roles, irrigation or organic/IP systems require inventory evidence; generic crop similarity is insufficient.",0.090341,geographic_proxy
pinto bean production,pinto bean,CA-AB,kilogram,review_pair,0.091697,0.4,False,True,Neither candidate establishes a sufficiently better product/process match.,"{""location"": ""CH"", ""name"": ""Agricultural machinery, general, production"", ""reference product"": ""Agricultural machinery, general, production"", ""unit"": ""kilogram""}","{""location"": ""CH"", ""name"": ""Soy beans IP, at farm"", ""reference product"": ""Soy beans IP, at farm"", ""unit"": ""kilogram""}",review,[Manual] rough proxy:  | Reviewed by hand (Karin).,recorded_decision,exact_source,mapping_decisions.json,"{""location"": ""CA-AB"", ""name"": ""pinto bean production"", ""reference product"": ""pinto bean"", ""unit"": ""kilogram""}",,rough proxy,0.4,,needs_crop_and_farming_system,"Different crop species, seed/food/feed roles, irrigation or organic/IP systems require inventory evidence; generic crop similarity is insufficient.",0.091697,geographic_proxy
pinto bean production,pinto bean,CA-MB,kilogram,review_pair,0.091697,0.4,False,True,Neither candidate establishes a sufficiently better product/process match.,"{""location"": ""CH"", ""name"": ""Agricultural machinery, general, production"", ""reference product"": ""Agricultural machinery, general, production"", ""unit"": ""kilogram""}","{""location"": ""CH"", ""name"": ""Soy beans IP, at farm"", ""reference product"": ""Soy beans IP, at farm"", ""unit"": ""kilogram""}",review,[Manual] rough proxy:  | Reviewed by hand (Karin).,recorded_decision,exact_source,mapping_decisions.json,"{""location"": ""CA-MB"", ""name"": ""pinto bean production"", ""reference product"": ""pinto bean"", ""unit"": ""kilogram""}",,rough proxy,0.4,,needs_crop_and_farming_system,"Different crop species, seed/food/feed roles, irrigation or organic/IP systems require inventory evidence; generic crop similarity is insufficient.",0.091697,geographic_proxy
pinto bean production,pinto bean,RoW,kilogram,review_pair,0.091697,0.4,False,True,Neither candidate establishes a sufficiently better product/process match.,"{""location"": ""CH"", ""name"": ""Agricultural machinery, general, production"", ""reference product"": ""Agricultural machinery, general, production"", ""unit"": ""kilogram""}","{""location"": ""CH"", ""name"": ""Soy beans IP, at farm"", ""reference product"": ""Soy beans IP, at farm"", ""unit"": ""kilogram""}",review,[Manual] rough proxy:  | Reviewed by hand (Karin).,recorded_decision,exact_source,mapping_decisions.json,"{""location"": ""RoW"", ""name"": ""pinto bean production"", ""reference product"": ""pinto bean"", ""unit"": ""kilogram""}",,rough proxy,0.4,,needs_crop_and_farming_system,"Different crop species, seed/food/feed roles, irrigation or organic/IP systems require inventory evidence; generic crop similarity is insufficient.",0.091697,geographic_proxy
