name,reference product,location,unit,outcome,previous_confidence,candidate_confidence,candidate_deprecated,candidate_geographic_proxy,evidence,previous_target,candidate_target,candidate_method,candidate_reasoning,lineage_kind,lineage_scope,lineage_file,lineage_source,lineage_comment,lineage_fit,lineage_confidence,lineage_flags,screening_flags,followup_outcome,followup_reason,final_confidence
beef cattle production on pasture and proteic supplement,"weaned heifers, live weight",BR,kilogram,same_target,0.105285,0.4,True,True,Both mappings select the identical target.,"{""location"": ""US"", ""name"": ""xx Sheep for slaughtering, live weight, at farm"", ""reference product"": ""xx Sheep for slaughtering, live weight, at farm"", ""unit"": ""kilogram""}","{""location"": ""US"", ""name"": ""xx Sheep for slaughtering, live weight, at farm"", ""reference product"": ""xx Sheep for slaughtering, live weight, at farm"", ""unit"": ""kilogram""}",review,"[Manual] rough proxy: reuse: same BAFU target as your other 'weaned heifers, live weight' mappings (learned) | Reviewed by hand (Karin).",script_reuse,exact_source,mapping_decisions.json,"{""location"": ""BR"", ""name"": ""beef cattle production on pasture and proteic supplement"", ""reference product"": ""weaned heifers, live weight"", ""unit"": ""kilogram""}","reuse: same BAFU target as your other 'weaned heifers, live weight' mappings (learned)",rough proxy,0.4,,geographic_proxy; deprecated_target,same_target_score_unchanged,Agreement and provenance are not independent inventory validation or score calibration.,0.105285
beef cattle production on pasture and proteic supplement,"weaned heifers, live weight",RoW,kilogram,same_target,0.105285,0.4,True,True,Both mappings select the identical target.,"{""location"": ""US"", ""name"": ""xx Sheep for slaughtering, live weight, at farm"", ""reference product"": ""xx Sheep for slaughtering, live weight, at farm"", ""unit"": ""kilogram""}","{""location"": ""US"", ""name"": ""xx Sheep for slaughtering, live weight, at farm"", ""reference product"": ""xx Sheep for slaughtering, live weight, at farm"", ""unit"": ""kilogram""}",review,"[Manual] rough proxy: reuse: same BAFU target as your other 'weaned heifers, live weight' mappings (learned) | Reviewed by hand (Karin).",script_reuse,exact_source,mapping_decisions.json,"{""location"": ""RoW"", ""name"": ""beef cattle production on pasture and proteic supplement"", ""reference product"": ""weaned heifers, live weight"", ""unit"": ""kilogram""}","reuse: same BAFU target as your other 'weaned heifers, live weight' mappings (learned)",rough proxy,0.4,,geographic_proxy; deprecated_target,same_target_score_unchanged,Agreement and provenance are not independent inventory validation or score calibration.,0.105285
beef cattle production on pasture and feedlot,"weaned heifers, live weight",BR,kilogram,same_target,0.107849,0.4,True,True,Both mappings select the identical target.,"{""location"": ""US"", ""name"": ""xx Sheep for slaughtering, live weight, at farm"", ""reference product"": ""xx Sheep for slaughtering, live weight, at farm"", ""unit"": ""kilogram""}","{""location"": ""US"", ""name"": ""xx Sheep for slaughtering, live weight, at farm"", ""reference product"": ""xx Sheep for slaughtering, live weight, at farm"", ""unit"": ""kilogram""}",review,"[Manual] rough proxy: reuse: same BAFU target as your other 'weaned heifers, live weight' mappings (learned) | Reviewed by hand (Karin).",script_reuse,exact_source,mapping_decisions.json,"{""location"": ""BR"", ""name"": ""beef cattle production on pasture and feedlot"", ""reference product"": ""weaned heifers, live weight"", ""unit"": ""kilogram""}","reuse: same BAFU target as your other 'weaned heifers, live weight' mappings (learned)",rough proxy,0.4,,geographic_proxy; deprecated_target,same_target_score_unchanged,Agreement and provenance are not independent inventory validation or score calibration.,0.107849
beef cattle production on pasture and feedlot,"weaned heifers, live weight",RoW,kilogram,same_target,0.107849,0.4,True,True,Both mappings select the identical target.,"{""location"": ""US"", ""name"": ""xx Sheep for slaughtering, live weight, at farm"", ""reference product"": ""xx Sheep for slaughtering, live weight, at farm"", ""unit"": ""kilogram""}","{""location"": ""US"", ""name"": ""xx Sheep for slaughtering, live weight, at farm"", ""reference product"": ""xx Sheep for slaughtering, live weight, at farm"", ""unit"": ""kilogram""}",review,"[Manual] rough proxy: reuse: same BAFU target as your other 'weaned heifers, live weight' mappings (learned) | Reviewed by hand (Karin).",script_reuse,exact_source,mapping_decisions.json,"{""location"": ""RoW"", ""name"": ""beef cattle production on pasture and feedlot"", ""reference product"": ""weaned heifers, live weight"", ""unit"": ""kilogram""}","reuse: same BAFU target as your other 'weaned heifers, live weight' mappings (learned)",rough proxy,0.4,,geographic_proxy; deprecated_target,same_target_score_unchanged,Agreement and provenance are not independent inventory validation or score calibration.,0.107849
beef cattle production on pasture,"weaned heifers, live weight",BR,kilogram,same_target,0.11088,0.4,True,True,Both mappings select the identical target.,"{""location"": ""US"", ""name"": ""xx Sheep for slaughtering, live weight, at farm"", ""reference product"": ""xx Sheep for slaughtering, live weight, at farm"", ""unit"": ""kilogram""}","{""location"": ""US"", ""name"": ""xx Sheep for slaughtering, live weight, at farm"", ""reference product"": ""xx Sheep for slaughtering, live weight, at farm"", ""unit"": ""kilogram""}",review,"[Manual] rough proxy: reuse: same BAFU target as your other 'weaned heifers, live weight' mappings (learned) | Reviewed by hand (Karin).",script_reuse,exact_source,mapping_decisions.json,"{""location"": ""BR"", ""name"": ""beef cattle production on pasture"", ""reference product"": ""weaned heifers, live weight"", ""unit"": ""kilogram""}","reuse: same BAFU target as your other 'weaned heifers, live weight' mappings (learned)",rough proxy,0.4,,geographic_proxy; deprecated_target,same_target_score_unchanged,Agreement and provenance are not independent inventory validation or score calibration.,0.11088
beef cattle production on pasture,"weaned heifers, live weight",RoW,kilogram,same_target,0.11088,0.4,True,True,Both mappings select the identical target.,"{""location"": ""US"", ""name"": ""xx Sheep for slaughtering, live weight, at farm"", ""reference product"": ""xx Sheep for slaughtering, live weight, at farm"", ""unit"": ""kilogram""}","{""location"": ""US"", ""name"": ""xx Sheep for slaughtering, live weight, at farm"", ""reference product"": ""xx Sheep for slaughtering, live weight, at farm"", ""unit"": ""kilogram""}",review,"[Manual] rough proxy: reuse: same BAFU target as your other 'weaned heifers, live weight' mappings (learned) | Reviewed by hand (Karin).",script_reuse,exact_source,mapping_decisions.json,"{""location"": ""RoW"", ""name"": ""beef cattle production on pasture"", ""reference product"": ""weaned heifers, live weight"", ""unit"": ""kilogram""}","reuse: same BAFU target as your other 'weaned heifers, live weight' mappings (learned)",rough proxy,0.4,,geographic_proxy; deprecated_target,same_target_score_unchanged,Agreement and provenance are not independent inventory validation or score calibration.,0.11088
"intensive beef cattle production, fat steers only, on pasture","weaned heifers, live weight",BR,kilogram,same_target,0.113064,0.4,True,True,Both mappings select the identical target.,"{""location"": ""US"", ""name"": ""xx Sheep for slaughtering, live weight, at farm"", ""reference product"": ""xx Sheep for slaughtering, live weight, at farm"", ""unit"": ""kilogram""}","{""location"": ""US"", ""name"": ""xx Sheep for slaughtering, live weight, at farm"", ""reference product"": ""xx Sheep for slaughtering, live weight, at farm"", ""unit"": ""kilogram""}",review,"[Manual] rough proxy: reuse: same BAFU target as your other 'weaned heifers, live weight' mappings (learned) | Reviewed by hand (Karin).",script_reuse,exact_source,mapping_decisions.json,"{""location"": ""BR"", ""name"": ""intensive beef cattle production, fat steers only, on pasture"", ""reference product"": ""weaned heifers, live weight"", ""unit"": ""kilogram""}","reuse: same BAFU target as your other 'weaned heifers, live weight' mappings (learned)",rough proxy,0.4,,geographic_proxy; deprecated_target,same_target_score_unchanged,Agreement and provenance are not independent inventory validation or score calibration.,0.113064
"intensive beef cattle production, fat steers only, on pasture","weaned heifers, live weight",RoW,kilogram,same_target,0.113064,0.4,True,True,Both mappings select the identical target.,"{""location"": ""US"", ""name"": ""xx Sheep for slaughtering, live weight, at farm"", ""reference product"": ""xx Sheep for slaughtering, live weight, at farm"", ""unit"": ""kilogram""}","{""location"": ""US"", ""name"": ""xx Sheep for slaughtering, live weight, at farm"", ""reference product"": ""xx Sheep for slaughtering, live weight, at farm"", ""unit"": ""kilogram""}",review,"[Manual] rough proxy: reuse: same BAFU target as your other 'weaned heifers, live weight' mappings (learned) | Reviewed by hand (Karin).",script_reuse,exact_source,mapping_decisions.json,"{""location"": ""RoW"", ""name"": ""intensive beef cattle production, fat steers only, on pasture"", ""reference product"": ""weaned heifers, live weight"", ""unit"": ""kilogram""}","reuse: same BAFU target as your other 'weaned heifers, live weight' mappings (learned)",rough proxy,0.4,,geographic_proxy; deprecated_target,same_target_score_unchanged,Agreement and provenance are not independent inventory validation or score calibration.,0.113064
"weaned calves production on native and planted pasture, Pantanal","weaned heifers, live weight",BR,kilogram,same_target,0.114023,0.4,True,True,Both mappings select the identical target.,"{""location"": ""US"", ""name"": ""xx Sheep for slaughtering, live weight, at farm"", ""reference product"": ""xx Sheep for slaughtering, live weight, at farm"", ""unit"": ""kilogram""}","{""location"": ""US"", ""name"": ""xx Sheep for slaughtering, live weight, at farm"", ""reference product"": ""xx Sheep for slaughtering, live weight, at farm"", ""unit"": ""kilogram""}",review,"[Manual] rough proxy: reuse: same BAFU target as your other 'weaned heifers, live weight' mappings (learned) | Reviewed by hand (Karin).",script_reuse,exact_source,mapping_decisions.json,"{""location"": ""BR"", ""name"": ""weaned calves production on native and planted pasture, Pantanal"", ""reference product"": ""weaned heifers, live weight"", ""unit"": ""kilogram""}","reuse: same BAFU target as your other 'weaned heifers, live weight' mappings (learned)",rough proxy,0.4,,geographic_proxy; deprecated_target,same_target_score_unchanged,Agreement and provenance are not independent inventory validation or score calibration.,0.114023
intensive beef cattle production on pasture,"weaned heifers, live weight",BR,kilogram,same_target,0.114668,0.4,True,True,Both mappings select the identical target.,"{""location"": ""US"", ""name"": ""xx Sheep for slaughtering, live weight, at farm"", ""reference product"": ""xx Sheep for slaughtering, live weight, at farm"", ""unit"": ""kilogram""}","{""location"": ""US"", ""name"": ""xx Sheep for slaughtering, live weight, at farm"", ""reference product"": ""xx Sheep for slaughtering, live weight, at farm"", ""unit"": ""kilogram""}",review,"[Manual] rough proxy: reuse: same BAFU target as your other 'weaned heifers, live weight' mappings (learned) | Reviewed by hand (Karin).",script_reuse,exact_source,mapping_decisions.json,"{""location"": ""BR"", ""name"": ""intensive beef cattle production on pasture"", ""reference product"": ""weaned heifers, live weight"", ""unit"": ""kilogram""}","reuse: same BAFU target as your other 'weaned heifers, live weight' mappings (learned)",rough proxy,0.4,,geographic_proxy; deprecated_target,same_target_score_unchanged,Agreement and provenance are not independent inventory validation or score calibration.,0.114668
