name,reference product,location,unit,outcome,previous_confidence,candidate_confidence,candidate_deprecated,candidate_geographic_proxy,evidence,previous_target,candidate_target,candidate_method,candidate_reasoning
"1,4-butanediol production","1,4-butanediol",RER,kilogram,accept_chemical_proxy,0.23055,0.6,False,True,Low-confidence named target does not preserve the source chemical identity; branch provides the correct broad chemical family. Coarse proxy only.,"{""location"": ""GLO"", ""name"": ""xx Hydrogen, from butanediol dehdrogenation"", ""reference product"": ""xx Hydrogen, from butanediol dehdrogenation"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals organic, at plant"", ""reference product"": ""Chemicals organic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic organic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
"1,4-butanediol production","1,4-butanediol",RoW,kilogram,accept_chemical_proxy,0.23055,0.6,False,True,Low-confidence named target does not preserve the source chemical identity; branch provides the correct broad chemical family. Coarse proxy only.,"{""location"": ""GLO"", ""name"": ""xx Hydrogen, from butanediol dehdrogenation"", ""reference product"": ""xx Hydrogen, from butanediol dehdrogenation"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals organic, at plant"", ""reference product"": ""Chemicals organic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic organic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
1-methylcyclopropene production,1-methylcyclopropene,GLO,kilogram,accept_chemical_proxy,0.136294,0.6,False,False,Low-confidence named target does not preserve the source chemical identity; branch provides the correct broad chemical family. Coarse proxy only.,"{""location"": ""GLO"", ""name"": ""Aluminium collector foil production, for Li-ion battery"", ""reference product"": ""Aluminium collector foil production, for Li-ion battery"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals organic, at plant"", ""reference product"": ""Chemicals organic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic organic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
1-naphthylacetic acid production,1-naphthylacetic acid,GLO,kilogram,accept_chemical_proxy,0.239824,0.6,False,False,Low-confidence named target does not preserve the source chemical identity; branch provides the correct broad chemical family. Coarse proxy only.,"{""location"": ""GLO"", ""name"": ""Sulphuric acid from viscose production, at plant"", ""reference product"": ""Sulphuric acid from viscose production, at plant"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals organic, at plant"", ""reference product"": ""Chemicals organic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic organic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
"2,4-di-tert-butylphenol production","2,4-di-tert-butylphenol",GLO,kilogram,accept_chemical_proxy,0.168084,0.6,False,False,Low-confidence named target does not preserve the source chemical identity; branch provides the correct broad chemical family. Coarse proxy only.,"{""location"": ""RER"", ""name"": ""Methyl tert-butyl ether, at plant"", ""reference product"": ""Methyl tert-butyl ether, at plant"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals organic, at plant"", ""reference product"": ""Chemicals organic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic organic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
"2,5-dimethylhexane-2,5-dihydroperoxide production","2,5-dimethylhexane-2,5-dihydroperoxide",GLO,kilogram,accept_chemical_proxy,0.145714,0.6,False,False,Low-confidence named target does not preserve the source chemical identity; branch provides the correct broad chemical family. Coarse proxy only.,"{""location"": ""GLO"", ""name"": ""Anode slime, silver and tellurium containing, primary copper production"", ""reference product"": ""Anode slime, silver and tellurium containing, primary copper production"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals organic, at plant"", ""reference product"": ""Chemicals organic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic organic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
"2,6-di-tert-butylphenol production","2,6-di-tert-butylphenol",GLO,kilogram,accept_chemical_proxy,0.168084,0.6,False,False,Low-confidence named target does not preserve the source chemical identity; branch provides the correct broad chemical family. Coarse proxy only.,"{""location"": ""RER"", ""name"": ""Methyl tert-butyl ether, at plant"", ""reference product"": ""Methyl tert-butyl ether, at plant"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals organic, at plant"", ""reference product"": ""Chemicals organic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic organic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
2-butanol production by hydration of butene,butane,RER,kilogram,accept_chemical_proxy,0.267222,0.6,False,True,"Generic organic-chemical proxy replaces a wrong named compound (butane is not butane-1,4-diol). More specific catalog candidates still merit review.","{""location"": ""RER"", ""name"": ""Butane-1,4-diol, at plant"", ""reference product"": ""Butane-1,4-diol, at plant"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals organic, at plant"", ""reference product"": ""Chemicals organic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic organic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
2-butanol production by hydration of butene,butane,RoW,kilogram,accept_chemical_proxy,0.187222,0.6,False,True,"Generic organic-chemical proxy replaces a wrong named compound (butane is not butane-1,4-diol). More specific catalog candidates still merit review.","{""location"": ""RER"", ""name"": ""Butane-1,4-diol, at plant"", ""reference product"": ""Butane-1,4-diol, at plant"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals organic, at plant"", ""reference product"": ""Chemicals organic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic organic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
"2-cyclopentanone production, decarboxylative cyclization of adipic acid",2-cyclopentanone,RER,kilogram,accept_chemical_proxy,0.205088,0.6,False,True,Low-confidence named target does not preserve the source chemical identity; branch provides the correct broad chemical family. Coarse proxy only.,"{""location"": ""RER"", ""name"": ""Adipic acid, at plant"", ""reference product"": ""Adipic acid, at plant"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals organic, at plant"", ""reference product"": ""Chemicals organic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic organic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
"2-cyclopentanone production, decarboxylative cyclization of adipic acid",2-cyclopentanone,RoW,kilogram,accept_chemical_proxy,0.125088,0.6,False,True,Low-confidence named target does not preserve the source chemical identity; branch provides the correct broad chemical family. Coarse proxy only.,"{""location"": ""RER"", ""name"": ""Adipic acid, at plant"", ""reference product"": ""Adipic acid, at plant"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals organic, at plant"", ""reference product"": ""Chemicals organic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic organic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
2-nitroaniline production,2-nitroaniline,RoW,kilogram,accept_chemical_proxy,0.095662,0.6,False,True,Low-confidence named target does not preserve the source chemical identity; branch provides the correct broad chemical family. Coarse proxy only.,"{""location"": ""CH"", ""name"": ""Agricultural machinery, tillage, production"", ""reference product"": ""Agricultural machinery, tillage, production"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals organic, at plant"", ""reference product"": ""Chemicals organic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic organic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
4-tert-butylbenzaldehyde production,4-tert-butylbenzaldehyde,RER,kilogram,accept_chemical_proxy,0.250476,0.6,False,True,Low-confidence named target does not preserve the source chemical identity; branch provides the correct broad chemical family. Coarse proxy only.,"{""location"": ""RER"", ""name"": ""Methyl tert-butyl ether, at plant"", ""reference product"": ""Methyl tert-butyl ether, at plant"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals organic, at plant"", ""reference product"": ""Chemicals organic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic organic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
4-tert-butylbenzaldehyde production,4-tert-butylbenzaldehyde,RoW,kilogram,accept_chemical_proxy,0.170476,0.6,False,True,Low-confidence named target does not preserve the source chemical identity; branch provides the correct broad chemical family. Coarse proxy only.,"{""location"": ""RER"", ""name"": ""Methyl tert-butyl ether, at plant"", ""reference product"": ""Methyl tert-butyl ether, at plant"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals organic, at plant"", ""reference product"": ""Chemicals organic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic organic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
4-tert-butyltoluene production,4-tert-butyltoluene,RER,kilogram,accept_chemical_proxy,0.263333,0.6,False,True,Low-confidence named target does not preserve the source chemical identity; branch provides the correct broad chemical family. Coarse proxy only.,"{""location"": ""RER"", ""name"": ""Methyl tert-butyl ether, at plant"", ""reference product"": ""Methyl tert-butyl ether, at plant"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals organic, at plant"", ""reference product"": ""Chemicals organic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic organic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
4-tert-butyltoluene production,4-tert-butyltoluene,RoW,kilogram,accept_chemical_proxy,0.183333,0.6,False,True,Low-confidence named target does not preserve the source chemical identity; branch provides the correct broad chemical family. Coarse proxy only.,"{""location"": ""RER"", ""name"": ""Methyl tert-butyl ether, at plant"", ""reference product"": ""Methyl tert-butyl ether, at plant"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals organic, at plant"", ""reference product"": ""Chemicals organic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic organic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
acetanilide production,acetanilide,RER,kilogram,accept_chemical_proxy,0.233732,0.6,False,True,Low-confidence named target does not preserve the source chemical identity; branch provides the correct broad chemical family. Coarse proxy only.,"{""location"": ""RER"", ""name"": ""Acetamide-anillide-compounds, at regional storehouse"", ""reference product"": ""Acetamide-anillide-compounds, at regional storehouse"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals organic, at plant"", ""reference product"": ""Chemicals organic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic organic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
acetanilide production,acetanilide,RoW,kilogram,accept_chemical_proxy,0.158732,0.6,False,True,Low-confidence named target does not preserve the source chemical identity; branch provides the correct broad chemical family. Coarse proxy only.,"{""location"": ""CH"", ""name"": ""Acetamide-anillide-compounds, at regional storehouse"", ""reference product"": ""Acetamide-anillide-compounds, at regional storehouse"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals organic, at plant"", ""reference product"": ""Chemicals organic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic organic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
"acetic anhydride production, acetaldehyde oxidation","acetic acid, without water, in 98% solution state",RER,kilogram,accept_chemical_proxy,0.312622,0.6,False,True,Low-confidence named target does not preserve the source chemical identity; branch provides the correct broad chemical family. Coarse proxy only.,"{""location"": ""RER"", ""name"": ""Acetic anhydride from acetaldehyde, at plant"", ""reference product"": ""Acetic anhydride from acetaldehyde, at plant"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals organic, at plant"", ""reference product"": ""Chemicals organic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic organic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
"acetic anhydride production, acetaldehyde oxidation","acetic acid, without water, in 98% solution state",RoW,kilogram,accept_chemical_proxy,0.232622,0.6,False,True,Low-confidence named target does not preserve the source chemical identity; branch provides the correct broad chemical family. Coarse proxy only.,"{""location"": ""RER"", ""name"": ""Acetic anhydride from acetaldehyde, at plant"", ""reference product"": ""Acetic anhydride from acetaldehyde, at plant"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals organic, at plant"", ""reference product"": ""Chemicals organic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic organic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
