reference_product,unit,process_role,category,dataset_count
"1,1-difluoroethane, HFC-152a",kilogram,market,material/Chemicals/Organic/Market,1
"1,1-difluoroethane, HFC-152a",kilogram,transformation,material/Chemicals/Organic/Transformation,2
"1,1-dimethylcyclopentane",kilogram,market,material/Chemicals/Organic/Market,1
"1,1-dimethylcyclopentane",kilogram,transformation,material/Chemicals/Organic/Transformation,2
1-butanol,kilogram,market,material/Chemicals/Organic/Market,1
1-butanol,kilogram,transformation,material/Chemicals/Organic/Transformation,3
1-methoxy-2-propanol,kilogram,market,material/Chemicals/Organic/Market,1
1-methoxy-2-propanol,kilogram,transformation,material/Chemicals/Organic/Transformation,1
1-methylcyclopropene,kilogram,market,material/Chemicals/Organic/Market,1
1-methylcyclopropene,kilogram,transformation,material/Chemicals/Organic/Transformation,1
1-naphthylacetic acid,kilogram,market,material/Chemicals/Acids (organic)/Market,1
1-naphthylacetic acid,kilogram,transformation,material/Chemicals/Acids (organic)/Transformation,1
1-pentanol,kilogram,market,material/Chemicals/Organic/Market,1
1-pentanol,kilogram,transformation,material/Chemicals/Organic/Transformation,2
1-propanol,kilogram,market,material/Chemicals/Organic/Market,1
1-propanol,kilogram,transformation,material/Chemicals/Organic/Transformation,3
"2,3-dimethylbutan",kilogram,market,material/Chemicals/Pesticides/Market,1
"2,3-dimethylbutan",kilogram,transformation,material/Chemicals/Pesticides/Transformation,2
"2,4-di-tert-butylphenol",kilogram,market,material/Chemicals/Organic/Market,1
"2,4-di-tert-butylphenol",kilogram,transformation,material/Chemicals/Organic/Transformation,1
"2,4-dichlorophenol",kilogram,market,material/Chemicals/Pesticides/Market,1
"2,4-dichlorophenol",kilogram,transformation,material/Chemicals/Pesticides/Transformation,2
"2,4-dichlorotoluene",kilogram,market,material/Chemicals/Pesticides/Market,1
"2,4-dichlorotoluene",kilogram,transformation,material/Chemicals/Pesticides/Transformation,2
"2,4-dinitrotoluene",kilogram,market,material/Chemicals/Organic/Market,1
"2,4-dinitrotoluene",kilogram,transformation,material/Chemicals/Organic/Transformation,2
"2,4-dinitrotoluene",kilogram,transformation,material/Others/Obsolete,1
"2,5-dimethylhexane-2,5-dihydroperoxide",kilogram,market,material/Chemicals/Organic/Market,1
"2,5-dimethylhexane-2,5-dihydroperoxide",kilogram,transformation,material/Chemicals/Organic/Transformation,1
"2,6-di-tert-butylphenol",kilogram,market,material/Chemicals/Organic/Market,1
"2,6-di-tert-butylphenol",kilogram,transformation,material/Chemicals/Organic/Transformation,1
2-butanol,kilogram,market,material/Chemicals/Organic/Market,2
2-butanol,kilogram,market,material/Others/Obsolete,1
2-butanol,kilogram,transformation,material/Chemicals/Organic/Transformation,2
2-cyclopentone,kilogram,market,material/Chemicals/Organic/Market,1
2-cyclopentone,kilogram,transformation,material/Chemicals/Organic/Transformation,2
2-methyl-1-butanol,kilogram,market,material/Chemicals/Organic/Market,1
2-methyl-1-butanol,kilogram,transformation,material/Chemicals/Organic/Transformation,2
2-methyl-2-butanol,kilogram,market,material/Chemicals/Organic/Market,1
2-methyl-2-butanol,kilogram,transformation,material/Chemicals/Organic/Transformation,2
